"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"5191","Gran:HLA-DRB1_Mono:CD4","Gran","HLA-DRB1","Mono","CD4",-0.732021020477434,1.21576656649759e-138,NA,NA
"5192","Gran:HLA-DRB1_Mono:CD53","Gran","HLA-DRB1","Mono","CD53",-0.732021020477434,1.21576656649759e-138,0.331852530085835,1.46520245870582e-295
"5193","Gran:HLA-DRB1_Mono:CD81","Gran","HLA-DRB1","Mono","CD81",-0.732021020477434,1.21576656649759e-138,0.330061329354235,0
"5194","Gran:HLA-DRB1_Mono:CD82","Gran","HLA-DRB1","Mono","CD82",-0.732021020477434,1.21576656649759e-138,NA,NA
"5195","Gran:HSP90B1_Mono:TLR1","Gran","HSP90B1","Mono","TLR1",NA,NA,NA,NA
"5196","Gran:LGALS9_Mono:CD44","Gran","LGALS9","Mono","CD44",0.334237428757051,2.64278832887731e-44,NA,NA
"5197","Gran:LGALS9_Mono:CD47","Gran","LGALS9","Mono","CD47",0.334237428757051,2.64278832887731e-44,NA,NA
"5198","Gran:LGALS9_Mono:HAVCR2","Gran","LGALS9","Mono","HAVCR2",0.334237428757051,2.64278832887731e-44,NA,NA
"5199","Gran:LGALS9_Mono:LRP1","Gran","LGALS9","Mono","LRP1",0.334237428757051,2.64278832887731e-44,NA,NA
"5200","Gran:LGALS9_Mono:PTPRC","Gran","LGALS9","Mono","PTPRC",0.334237428757051,2.64278832887731e-44,NA,NA
"5201","Gran:NUCB2_Mono:ERAP1","Gran","NUCB2","Mono","ERAP1",NA,NA,NA,NA
"5202","Gran:S100B_Mono:ALCAM","Gran","S100B","Mono","ALCAM",NA,NA,NA,NA
"5203","Gran:TNFSF13B_Mono:TFRC","Gran","TNFSF13B","Mono","TFRC",NA,NA,NA,NA
"5204","Gran:VSTM1_Mono:LAMP1","Gran","VSTM1","Mono","LAMP1",NA,NA,NA,NA
"5205","Mono:CD14_Mono:PLXND1","Mono","CD14","Mono","PLXND1",NA,NA,NA,NA
"5206","Mono:CD14_Mono:TLR1","Mono","CD14","Mono","TLR1",NA,NA,NA,NA
"5207","Mono:FYN_Mono:SPN","Mono","FYN","Mono","SPN",NA,NA,NA,NA
"5208","Mono:GPI_Mono:AMFR","Mono","GPI","Mono","AMFR",NA,NA,NA,NA
"5209","Mono:GRN_Mono:SORT1","Mono","GRN","Mono","SORT1",0.317826248345233,0,NA,NA
"5210","Mono:HLA-DRA_Mono:CD37","Mono","HLA-DRA","Mono","CD37",-0.833671441515946,0,NA,NA
"5211","Mono:HLA-DRA_Mono:CD4","Mono","HLA-DRA","Mono","CD4",-0.833671441515946,0,NA,NA
"5212","Mono:HLA-DRA_Mono:CD53","Mono","HLA-DRA","Mono","CD53",-0.833671441515946,0,0.331852530085835,1.46520245870582e-295
"5213","Mono:HLA-DRA_Mono:CD63","Mono","HLA-DRA","Mono","CD63",-0.833671441515946,0,0.385672705321446,0
"5214","Mono:HLA-DRA_Mono:CD81","Mono","HLA-DRA","Mono","CD81",-0.833671441515946,0,0.330061329354235,0
"5215","Mono:HLA-DRA_Mono:CD82","Mono","HLA-DRA","Mono","CD82",-0.833671441515946,0,NA,NA
"5216","Mono:HP_Mono:CD22","Mono","HP","Mono","CD22",NA,NA,NA,NA
"5217","Mono:HP_Mono:ITGAM","Mono","HP","Mono","ITGAM",NA,NA,NA,NA
"5218","Mono:HP_Mono:ITGB2","Mono","HP","Mono","ITGB2",NA,NA,NA,NA
"5219","Mono:HP_Mono:TLR4","Mono","HP","Mono","TLR4",NA,NA,NA,NA
"5220","Mono:HSP90B1_Mono:TLR1","Mono","HSP90B1","Mono","TLR1",NA,NA,NA,NA
"5221","Mono:IL1B_Mono:IL1RAP","Mono","IL1B","Mono","IL1RAP",0.47254217526661,2.87318281237088e-302,NA,NA
"5222","Mono:IL1RN_Mono:IL1RAP","Mono","IL1RN","Mono","IL1RAP",NA,NA,NA,NA
"5223","Mono:NUCB2_Mono:ERAP1","Mono","NUCB2","Mono","ERAP1",0.277292114183156,8.91158362889987e-290,NA,NA
"5224","Mono:TNF_Mono:TRPM2","Mono","TNF","Mono","TRPM2",NA,NA,NA,NA
"5225","Mono:VSTM1_Mono:LAMP1","Mono","VSTM1","Mono","LAMP1",NA,NA,NA,NA
"5226","NK:CALM1_Mono:ABCA1","NK","CALM1","Mono","ABCA1",NA,NA,NA,NA
"5227","NK:CALM1_Mono:INSR","NK","CALM1","Mono","INSR",NA,NA,NA,NA
"5228","NK:CALM1_Mono:KCNN4","NK","CALM1","Mono","KCNN4",NA,NA,NA,NA
"5229","NK:CALM1_Mono:PDE1B","NK","CALM1","Mono","PDE1B",NA,NA,NA,NA
"5230","NK:CALM1_Mono:PTPRA","NK","CALM1","Mono","PTPRA",NA,NA,NA,NA
"5231","NK:CALM1_Mono:SELL","NK","CALM1","Mono","SELL",NA,NA,NA,NA
"5232","NK:CALM2_Mono:ABCA1","NK","CALM2","Mono","ABCA1",NA,NA,NA,NA
"5233","NK:CALM2_Mono:INSR","NK","CALM2","Mono","INSR",NA,NA,NA,NA
"5234","NK:CALM2_Mono:PDE1B","NK","CALM2","Mono","PDE1B",NA,NA,NA,NA
"5235","NK:CALM2_Mono:SELL","NK","CALM2","Mono","SELL",NA,NA,NA,NA
"5236","NK:CD2_Mono:CD53","NK","CD2","Mono","CD53",NA,NA,0.331852530085835,1.46520245870582e-295
"5237","NK:FYN_Mono:SPN","NK","FYN","Mono","SPN",NA,NA,NA,NA
"5238","NK:HLA-DPA1_Mono:CD4","NK","HLA-DPA1","Mono","CD4",NA,NA,NA,NA
"5239","NK:HLA-DPB1_Mono:CD4","NK","HLA-DPB1","Mono","CD4",NA,NA,NA,NA
"5240","NK:HLA-DRA_Mono:CD37","NK","HLA-DRA","Mono","CD37",NA,NA,NA,NA
"5241","NK:HLA-DRA_Mono:CD4","NK","HLA-DRA","Mono","CD4",NA,NA,NA,NA
"5242","NK:HLA-DRA_Mono:CD53","NK","HLA-DRA","Mono","CD53",NA,NA,0.331852530085835,1.46520245870582e-295
"5243","NK:HLA-DRA_Mono:CD63","NK","HLA-DRA","Mono","CD63",NA,NA,0.385672705321446,0
"5244","NK:HLA-DRA_Mono:CD81","NK","HLA-DRA","Mono","CD81",NA,NA,0.330061329354235,0
"5245","NK:HLA-DRA_Mono:CD82","NK","HLA-DRA","Mono","CD82",NA,NA,NA,NA
"5246","NK:HLA-DRB1_Mono:CD37","NK","HLA-DRB1","Mono","CD37",NA,NA,NA,NA
"5247","NK:HLA-DRB1_Mono:CD4","NK","HLA-DRB1","Mono","CD4",NA,NA,NA,NA
"5248","NK:HLA-DRB1_Mono:CD53","NK","HLA-DRB1","Mono","CD53",NA,NA,0.331852530085835,1.46520245870582e-295
"5249","NK:HLA-DRB1_Mono:CD81","NK","HLA-DRB1","Mono","CD81",NA,NA,0.330061329354235,0
"5250","NK:HLA-DRB1_Mono:CD82","NK","HLA-DRB1","Mono","CD82",NA,NA,NA,NA
"5251","NK:HSP90B1_Mono:TLR1","NK","HSP90B1","Mono","TLR1",NA,NA,NA,NA
"5252","NK:LGALS9_Mono:CD44","NK","LGALS9","Mono","CD44",NA,NA,NA,NA
"5253","NK:LGALS9_Mono:CD47","NK","LGALS9","Mono","CD47",NA,NA,NA,NA
"5254","NK:LGALS9_Mono:HAVCR2","NK","LGALS9","Mono","HAVCR2",NA,NA,NA,NA
"5255","NK:LGALS9_Mono:LRP1","NK","LGALS9","Mono","LRP1",NA,NA,NA,NA
