Gene;OverallAverageExpression;case_avg;control_avg
PEF1;0,111970547568305323;1,21154438174810e-01;1,04262387483424e-01
AL136115.2;0,011138554617152590;1,38731865124228e-02;8,84334212768377e-03
PTP4A2;1,181837668283730602;1,20107755522587e+00;1,16568937831390e+00
KHDRBS1;0,568487793017957377;5,65060650002935e-01;5,71364239191529e-01
AL445248.1;0,007476099872043443;8,96541977708563e-03;6,22609410242610e-03
TMEM39B;0,035742137366948791;3,53623339024579e-02;3,60609114062448e-02
KPNA6;0,152198114978075005;1,81066660473570e-01;1,27968365340231e-01
TXLNA;0,083373365647445755;8,07220249937287e-02;8,55986707032279e-02
CCDC28B;0,048361880775388340;3,92706415990758e-02;5,59922772972424e-02
AL049795.1;0,001025697127474588;7,46814575027502e-04;1,25976691894400e-03
IQCC;0,004579976023718580;5,08578432490175e-03;4,15544446897420e-03
TMEM234;0,023228942867125863;2,06918806582604e-02;2,53583325222450e-02
EIF3I;0,420371311505564726;4,27700460034542e-01;4,14219860822211e-01
LCK;0,197178489677713759;1,58538004789427e-01;2,29609956475173e-01
HDAC1;0,220141031202912174;1,91042169258425e-01;2,44564088463318e-01
MARCKSL1;0,270479348541250719;2,72632666737850e-01;2,68672040278964e-01
FAM229A;0,015862043924081772;2,12226190896816e-02;1,13628427364917e-02
BSDC1;0,170792029356239772;2,22001272174797e-01;1,27811438843606e-01
ZBTB8A;0,023933357030171947;3,23431487452884e-02;1,68749083183903e-02
ZBTB8OS;0,224545753309607521;2,32305376082992e-01;2,18032999935436e-01
RBBP4;0,360310686106198930;3,89958978350086e-01;3,35426484774646e-01
SYNC;0,076580381575517706;8,26657471735282e-02;7,14728542524819e-02
KIAA1522;0,008874303207584963;1,42623031973257e-02;4,35208400466401e-03
YARS;0,132079756004180121;1,68550092349724e-01;1,01469723399718e-01
S100PBP;0,085643905784769728;9,03118043566663e-02;8,17260771657438e-02
TMEM54;0,003009415526254265;6,31346494181861e-03;2,36283428460100e-04
