cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mono,ADAM17,4.5763578000895835e-236,0.27730806583813356,0.536,0.258,7.216916250741273e-232
Mono,IFRD1,3.761502835938481e-234,0.26669061273012445,0.461,0.206,5.9318899722749845e-230
Mono,HIF1A,9.256416277776018e-234,0.32576826494213373,0.849,0.565,1.459736847005278e-229
Mono,NSD3,4.847260948708899e-233,0.2651232835810702,0.533,0.257,7.644130516113934e-229
Mono,PIM1,1.2133632036768197e-232,0.27274675785003505,0.369,0.147,1.9134737721983447e-228
Mono,CTSA,4.852686020226373e-232,0.2846423947468826,0.616,0.332,7.652685853896989e-228
Mono,ODF3B,9.118914598228767e-231,0.27515949854319843,0.567,0.287,1.4380528321406765e-226
Mono,SPTLC2,4.121631873312359e-230,0.26625452631466245,0.513,0.245,6.4998134642135904e-226
Mono,TRA2B,5.604791291503605e-228,0.28973688275768383,0.797,0.519,8.838755866701185e-224
Mono,EIF4EBP1,1.0739639839210111e-227,0.29161546184245146,0.613,0.344,1.6936412026434345e-223
Mono,PSMB10,4.0579181129722576e-224,0.2896909713689695,0.727,0.457,6.3993368641572506e-220
Mono,IFI16,5.1199078011173686e-222,0.2936698987373638,0.598,0.321,8.07409460236209e-218
Mono,TCIRG1,8.644492601920908e-218,0.27569858583274065,0.678,0.383,1.3632364833229272e-213
Mono,MGST1,3.134813561591827e-217,0.28261313562713886,0.6,0.325,4.943600986630311e-213
Mono,BASP1,2.772650917108598e-216,-0.37808231014034926,0.244,0.42,4.372470496280259e-212
Mono,ADA2,2.1610723268505093e-215,0.27744601472692143,0.646,0.35,3.408011059443253e-211
Mono,MRPL33,9.636228049979244e-214,0.28295525701557706,0.573,0.316,1.5196331634817268e-209
Mono,SNRPB2,8.389901605537532e-213,0.27683824442228455,0.636,0.369,1.3230874831932688e-208
Mono,FCGR2A,4.1887261009527366e-212,0.2904123492627174,0.621,0.358,6.605621061202466e-208
Mono,CBX3,5.301868874455518e-209,0.27120947179969646,0.648,0.374,8.361047215016352e-205
Mono,CCDC59,9.287926622223035e-209,0.2636176869534915,0.595,0.319,1.4647060283245725e-204
Mono,MTRNR2L12,1.0748120480344895e-208,0.2672108131353682,0.683,0.399,1.69497859975039e-204
Mono,WASF2,1.395407985095773e-208,-0.33339128896126546,0.38,0.529,2.200558392496034e-204
Mono,TMEM176B,1.6708045453460132e-207,0.2865204052302459,0.596,0.325,2.634858768010663e-203
Mono,CLEC4A,2.2337673302082265e-207,-0.31403111520408244,0.146,0.323,3.5226510797383735e-203
Mono,EIF4B,9.98777382633043e-207,-0.314203915460064,0.411,0.569,1.5750719324123088e-202
Mono,TACC1,4.0999725179085863e-206,0.2746651190608572,0.653,0.379,6.46565666074184e-202
Mono,BAX,6.700280676644649e-204,0.27275321205867686,0.675,0.413,1.056634262706861e-199
Mono,AGFG1,5.782611930765842e-203,0.2779600478948472,0.647,0.377,9.119179014817733e-199
Mono,ERICH1,5.36221745861808e-202,0.2665807902132762,0.569,0.31,8.456216932240712e-198
Mono,RSRC2,5.659098083557917e-200,0.269487288543681,0.669,0.388,8.924397677770835e-196
Mono,AKIRIN2,1.4579644990261142e-198,0.27062993334377294,0.636,0.374,2.299210014964182e-194
Mono,PSME2,6.4772695119162666e-195,0.2756947219122132,0.764,0.524,1.0214654020291953e-190
Mono,SLA,8.35807962991421e-195,0.26344126841745397,0.556,0.304,1.3180691576374708e-190
Mono,C1QB,1.2464536941177617e-194,0.3048986883506676,0.113,0.01,1.9656574756237102e-190
Mono,RGCC,4.331100248337651e-193,0.2586255529041178,0.462,0.222,6.830145091628476e-189
Mono,RAC2,6.772383084765542e-193,0.26514054607096305,0.73,0.462,1.0680048124675259e-188
Mono,SNHG15,8.342250330463368e-193,0.2553545447390673,0.47,0.237,1.3155728771140732e-188
Mono,HBEGF,5.510371733498536e-190,0.2797038008439148,0.539,0.305,8.68985622372719e-186
Mono,C5AR1,4.272963391125072e-188,-0.3103478396813899,0.509,0.632,6.738463267804239e-184
Mono,TNFSF13B,5.218039599947895e-187,0.2647509148444984,0.769,0.557,8.22884844911783e-183
Mono,EGR1,3.0538085766741574e-185,0.2868936361522044,0.295,0.12,4.815856125415146e-181
Mono,EZR,1.4380288807564866e-184,0.25929259789486925,0.595,0.339,2.2677715449529793e-180
Mono,IFI27L2,4.1133439563245767e-184,0.25277730291299383,0.619,0.359,6.486743419123858e-180
Mono,MT-ND4L,2.424245507399109e-178,0.2592162582617603,0.916,0.663,3.823035165168395e-174
Mono,RNF144B,4.4640149878320095e-174,-0.33164627806169295,0.128,0.277,7.039751635811079e-170
Mono,STX11,5.1685804077018576e-167,0.25155416190794044,0.75,0.505,8.150851302945829e-163
Mono,MARCKS,8.56897210056393e-161,0.2696616546425247,0.758,0.545,1.3513269002589318e-156
Mono,EIF3L,1.9319648079851394e-157,-0.2821174094715335,0.408,0.519,3.046708502192565e-153
Mono,CDKN1C,6.01490180771748e-155,-0.3146943058381263,0.046,0.167,9.485500150770467e-151
Mono,NDUFB8,2.4092140560575547e-153,-0.2745737556395229,0.373,0.488,3.799330566402764e-149
Mono,PTGS2,2.6915002428703837e-150,-0.2626866664348491,0.061,0.187,4.244495883006595e-146
Mono,RETN,1.350199845816186e-145,-0.3160329847307964,0.129,0.278,2.1292651568521254e-141
Mono,CXCL16,2.292208307554014e-136,-0.27880503907600696,0.215,0.354,3.6148125010126797e-132
Mono,ENTPD1,7.680570794810234e-135,-0.25696484781779666,0.096,0.222,1.211226014341574e-130
